"Good luck everyone! Hope to see you in the community!
"
"
God
"
"
""10 mins into the video, just realised you look like Jeff Bezos with a a wig!!""
"
"
""when adding the get account function at 4:57:25 i get the error 
string indices must be integers
it wont let me deploy from rinkeby but it works on the non persistent chains
SOLVED:
If anyone got this, you forgot a """":"""" on the brownie-config.yaml
in my case i put my private key right after the """"from_key"""" identifier causing this error
the """":"""" allows the config reader to see that the private key value is seperate from the from_key: identifier""
"
"
""Hi for some reason at 1:41,:44 , I can not compile the SimpleStorage file. How can I resolve this?""
"
"
I want to get involve In this
"
"
I LOVE YOU😭 Thank you so so much for this!!
"
"
""Someone told me that it's the best time to buy  Bitcoin, because there will be a huge pump""
"
"
""Successful people don't become that way overnight. What most people see at a glance-wealth, a great career, purpose-is the result of hard work and hustle over time.""
"
"
I love his vibe. I really know I can do this. So encouraging!!!!
"
"
""It's amazing, I'm French, I'm watching the video in 0.75, I'm at 1:29 and I feel like I really elevate myself, I'm learning complex English while learning to code to change the world. It's crazy. Thks Patrick""
"
"
Sir you are matching as like Mr. Jeff Bezos sir🤗🤗
"
"
👋Hello Mrs Jane is legit and her method works like magic I keep on earning every single week with her new strategy
"
"
When will the Javascript version of this course is going to be out? Thanks
"
"
""finally, after almost 3 months, I finished this course!
the amount of information in this video is insane and it was overwhelming at first but slowly I began to understand, I can't say I understood everything but this definitely will put my foot in the industry.
thank you so much Patrick for being an ally throughout this journey I absolutely enjoyed this!
will see you in the community.""
"
"
People who give  great free video's putting hours of hard work shud be charged with insanity
"
"
""Please I need help I have error when I type """"pipx install eth-brownie"""" 4:30:00""
"
"
Later could you do something like this but for Plutus?? It's newer and definitely would listen to the whole thing.
"
"
This exactly what I need to motivate my trade spirit.🙏
"
"
""*Great video.* I started watching your videos last year as a beginner before giving stock market a trial.  I was able to make $17,300 in one month with the capital of $4,000 trading with an experience expert who guided me through out my trading.""
"
"
This helps anyone to get a job without a degree and from scratch?
"
"
""Hi, can anyone tell me if it's a good idea to complete this course if i know python and wish to learn solidity BUT the company i'm willing to apply doesn't use python what so ever (in the offer they list JS and c# as an advantage but not python) Thanks in advance!""
"
"
""16 hours of content, with so many topics / techs covered, and all so well! Being able to like this video just once seems highly unfair!""
"
"
Does anyone have a Quizlet of all the terms & definitions he is sharing by chance?
"
"
""l appreciate the knowledge in this video. As an individual that has just started his financial security journey, these types of videos are delightful to me.""
"
"
Please make a javascript addition of this course. 🙏🙏
"
"
""Hi, just found this course which so far has been good. However, I am stuck. Is there an update to how to go about getting free ETH. The rinkeby faucet is offline, permanently it seems and most faucets do not work, e.g. mycryto? Thanks""
"
"
I lost my hope when I saw this video is 16 hours
"
"
""Each node is the instancs of the decentralized network, does this means that each node has all the list of transaction happened in the network? Please answer this.""
"
"
""<Making over 1.4 Btc is so satisfying. I mean it's time consuming, but that keeps me coming back. All thanks to Paulson Dmitriev>.""
"
"
""Personally as a first time investor, I started trading with Mr Paulson Dmitriev With £1,000 now my portfolio is worth £5,400 within the space of few months trading with him""
"
"
""After watching so many YouTube tutorial videos about trading I was still making losses untill Mr Paulson Dmitriev started managing my investment now, I make £6,800 weekly. God bless Mr Paulson Dmitriev. His been a blessing to my family.""
"
"
thanks
"
"
please what is the use of python in this course since we are using solidity?
"
"
Hi please creative turkish language
"
"
OMG.... Jeff bezos 😁😁😁😁
"
"
So a blockchain at a lower level is a Double Linked List on steroids and dynamic ( Decentralized ) 🤯 . My dataStructure & Algorithm  class def coming thru clutch on this one.
"
